Date,Location,Temperature,WeatherEvent,Precipitation
2020-08-30,City_1,27.4,Snow,1.78
2020-08-31,City_1,19.2,Clear,0.0
2020-09-01,City_1,27.3,Rain,0.85
2020-09-02,City_1,34.3,Clear,0.0
2020-09-03,City_1,23.6,Snow,0.96
2020-09-04,City_1,36.3,Rain,0.6
2020-09-05,City_1,23.7,Snow,1.34
2020-09-06,City_1,27.8,Snow,0.13
2020-09-07,City_1,30.6,Snow,1.62
2020-09-08,City_1,35.3,Rain,0.0
2020-09-09,City_1,32.9,Clear,0.0
2020-09-10,City_1,23.9,Clear,0.0
2020-09-11,City_1,32.0,Clear,0.0
2020-09-12,City_1,28.5,Snow,0.35
2020-09-13,City_1,27.1,Snow,1.68
2020-09-14,City_1,27.4,Windy,0.0
2020-09-15,City_1,30.6,Snow,1.68
2020-09-16,City_1,34.2,Rain,0.33
2020-09-17,City_1,40.2,Clear,0.0
2020-09-18,City_1,25.3,Rain,0.94
2020-09-19,City_1,31.0,Rain,0.59
2020-09-20,City_1,30.5,Clear,0.0
2020-09-21,City_1,25.4,Clear,0.0
2020-09-22,City_1,29.0,Rain,0.92
2020-09-23,City_1,35.4,Clear,0.0
2020-09-24,City_1,26.6,Clear,0.0
2020-09-25,City_1,21.7,Snow,1.91
2020-09-26,City_1,23.7,Snow,1.97
2020-09-27,City_1,20.9,Snow,0.0
2020-09-28,City_1,28.1,Clear,0.0
2020-09-29,City_1,29.7,Snow,1.54
2020-09-30,City_1,28.5,Clear,0.0
2020-10-01,City_1,33.2,Clear,0.0
2020-10-02,City_1,28.5,Snow,1.02
2020-10-03,City_1,30.6,Snow,0.68
2020-10-04,City_1,32.9,Rain,0.15
2020-10-05,City_1,40.1,Rain,0.27
2020-10-06,City_1,25.0,Clear,0.0
2020-10-07,City_1,34.4,Clear,0.0
2020-10-08,City_1,36.5,Clear,0.0
2020-10-09,City_1,26.6,Snow,1.6
2020-10-10,City_1,35.8,Rain,0.0
2020-10-11,City_1,33.3,Clear,0.0
2020-10-12,City_1,33.5,Rain,0.23
2020-10-13,City_1,29.9,Snow,1.27
2020-10-14,City_1,31.5,Snow,0.4
2020-10-15,City_1,32.2,Windy,0.0
2020-10-16,City_1,26.7,Snow,1.52
2020-10-17,City_1,41.0,Clear,0.0
2020-10-18,City_1,27.7,Clear,0.0
2020-10-19,City_1,28.6,Snow,1.65
2020-10-20,City_1,31.8,Snow,1.58
2020-10-21,City_1,34.4,Clear,0.0
2020-10-22,City_1,45.2,Rain,0.0
2020-10-23,City_1,37.7,Clear,0.0
2020-10-24,City_1,31.0,Rain,0.65
2020-10-25,City_1,41.7,Clear,0.0
2020-10-26,City_1,39.6,Clear,0.0
2020-10-27,City_1,51.1,Rain,0.32
2020-10-28,City_1,32.3,Clear,0.0
2020-10-29,City_1,31.2,Snow,0.86
2020-10-30,City_1,39.5,Rain,0.24
2020-10-31,City_1,34.8,Clear,0.0
2020-11-01,City_1,40.6,Clear,0.0
2020-11-02,City_1,37.7,Rain,0.0
2020-11-03,City_1,47.0,Clear,0.0
2020-11-04,City_1,46.4,Clear,0.0
2020-11-05,City_1,42.0,Clear,0.0
2020-11-06,City_1,43.1,Rain,0.94
2020-11-07,City_1,33.8,Rain,0.53
2020-11-08,City_1,39.0,Rain,0.36
2020-11-09,City_1,40.8,Clear,0.0
2020-11-10,City_1,39.4,Rain,0.67
2020-11-11,City_1,42.0,Clear,0.0
2020-11-12,City_1,44.1,Rain,0.02
2020-11-13,City_1,48.3,Rain,0.13
2020-11-14,City_1,43.9,Clear,0.0
2020-11-15,City_1,34.6,Clear,0.0
2020-11-16,City_1,44.1,Clear,0.0
2020-11-17,City_1,49.7,Clear,0.0
2020-11-18,City_1,43.8,Clear,0.0
2020-11-19,City_1,38.7,Rain,0.07
2020-11-20,City_1,53.7,Clear,0.0
2020-11-21,City_1,54.2,Rain,0.0
2020-11-22,City_1,45.5,Clear,0.0
2020-11-23,City_1,41.9,Clear,0.0
2020-11-24,City_1,49.0,Clear,0.0
2020-11-25,City_1,54.1,Clear,0.0
2020-11-26,City_1,48.2,Clear,0.0
2020-11-27,City_1,51.9,Rain,1.48
2020-11-28,City_1,47.7,Clear,0.0
2020-11-29,City_1,47.5,Clear,0.0
2020-11-30,City_1,44.0,Cloudy,0.0
2020-12-01,City_1,50.5,Windy,0.0
2020-12-02,City_1,53.5,Clear,0.0
2020-12-03,City_1,49.1,Rain,0.43
2020-12-04,City_1,48.4,Clear,0.0
2020-12-05,City_1,48.2,Rain,1.23
2020-12-06,City_1,47.6,Clear,0.0
2020-12-07,City_1,47.0,Rain,0.99
2020-12-08,City_1,46.9,Clear,0.0
2020-12-09,City_1,54.3,Clear,0.0
2020-12-10,City_1,49.1,Cloudy,0.0
2020-12-11,City_1,52.7,Clear,0.0
2020-12-12,City_1,54.0,Clear,0.0
2020-12-13,City_1,52.6,Clear,0.0
2020-12-14,City_1,61.1,Rain,0.19
2020-12-15,City_1,48.1,Rain,0.71
2020-12-16,City_1,55.1,Clear,0.0
2020-12-17,City_1,51.3,Clear,0.0
2020-12-18,City_1,56.9,Windy,0.0
2020-12-19,City_1,52.7,Rain,0.73
2020-12-20,City_1,59.5,Clear,0.0
2020-12-21,City_1,51.2,Rain,0.0
2020-12-22,City_1,55.0,Cloudy,0.0
2020-12-23,City_1,64.4,Clear,0.0
2020-12-24,City_1,54.4,Clear,0.0
2020-12-25,City_1,61.4,Clear,0.0
2020-12-26,City_1,56.6,Rain,0.0
2020-12-27,City_1,61.5,Clear,0.0
2020-12-28,City_1,59.0,Clear,0.0
2020-12-29,City_1,52.4,Clear,0.0
2020-12-30,City_1,66.1,Rain,0.11
2020-12-31,City_1,65.1,Clear,0.0
2021-01-01,City_1,67.4,Rain,0.0
2021-01-02,City_1,59.5,Windy,0.0
2021-01-03,City_1,60.3,Clear,0.0
2021-01-04,City_1,56.7,Rain,0.0
2021-01-05,City_1,65.6,Clear,0.0
2021-01-06,City_1,69.9,Clear,0.0
2021-01-07,City_1,65.8,Clear,0.0
2021-01-08,City_1,60.7,Clear,0.0
2021-01-09,City_1,67.9,Clear,0.0
2021-01-10,City_1,73.4,Clear,0.0
2021-01-11,City_1,58.0,Clear,0.0
2021-01-12,City_1,62.5,Rain,1.01
2021-01-13,City_1,64.6,Rain,1.37
2021-01-14,City_1,63.2,Clear,0.0
2021-01-15,City_1,66.7,Clear,0.0
2021-01-16,City_1,65.6,Rain,0.0
2021-01-17,City_1,71.9,Rain,0.0
2021-01-18,City_1,73.5,Clear,0.0
2021-01-19,City_1,66.4,Rain,0.58
2021-01-20,City_1,70.9,Clear,0.0
2021-01-21,City_1,69.4,Clear,0.0
2021-01-22,City_1,69.5,Clear,0.0
2021-01-23,City_1,75.5,Clear,0.0
2021-01-24,City_1,65.3,Rain,1.5
2021-01-25,City_1,72.3,Clear,0.0
2021-01-26,City_1,63.0,Fog,0.0
2021-01-27,City_1,69.8,Clear,0.0
2021-01-28,City_1,61.8,Clear,0.0
2021-01-29,City_1,74.3,Clear,0.0
2021-01-30,City_1,65.0,Rain,1.02
2021-01-31,City_1,69.8,Clear,0.0
2021-02-01,City_1,81.0,Clear,0.0
2021-02-02,City_1,74.2,Clear,0.0
2021-02-03,City_1,74.2,Clear,0.0
2021-02-04,City_1,75.8,Clear,0.0
2021-02-05,City_1,77.8,Rain,0.75
2021-02-06,City_1,74.0,Rain,0.0
2021-02-07,City_1,77.9,Rain,0.42
2021-02-08,City_1,78.7,Rain,1.32
2021-02-09,City_1,80.0,Clear,0.0
2021-02-10,City_1,73.2,Clear,0.0
2021-02-11,City_1,75.6,Windy,0.0
2021-02-12,City_1,71.7,Clear,0.0
2021-02-13,City_1,75.3,Clear,0.0
2021-02-14,City_1,75.0,Clear,0.0
2021-02-15,City_1,78.0,Clear,0.0
2021-02-16,City_1,70.1,Clear,0.0
2021-02-17,City_1,76.7,Clear,0.0
2021-02-18,City_1,77.2,Clear,0.0
2021-02-19,City_1,73.2,Clear,0.0
2021-02-20,City_1,68.0,Rain,1.38
2021-02-21,City_1,73.7,Clear,0.0
2021-02-22,City_1,77.9,Clear,0.0
2021-02-23,City_1,81.5,Clear,0.0
2021-02-24,City_1,81.1,Clear,0.0
2021-02-25,City_1,76.3,Clear,0.0
2021-02-26,City_1,80.0,Rain,1.71
2021-02-27,City_1,81.1,Rain,1.21
2021-02-28,City_1,81.0,Clear,0.0
2021-03-01,City_1,75.4,Clear,0.0
2021-03-02,City_1,80.6,Clear,0.0
2021-03-03,City_1,64.5,Rain,0.64
2021-03-04,City_1,75.8,Clear,0.0
2021-03-05,City_1,72.3,Clear,0.0
2021-03-06,City_1,84.3,Clear,0.0
2021-03-07,City_1,77.6,Clear,0.0
2021-03-08,City_1,76.6,Rain,1.09
2021-03-09,City_1,78.3,Clear,0.0
2021-03-10,City_1,82.2,Clear,0.0
2021-03-11,City_1,71.3,Clear,0.0
2021-03-12,City_1,77.0,Clear,0.0
2021-03-13,City_1,79.5,Clear,0.0
2021-03-14,City_1,78.7,Fog,0.0
2021-03-15,City_1,80.4,Clear,0.0
2021-03-16,City_1,86.6,Thunderstorm,0.91
2021-03-17,City_1,88.1,Cloudy,0.0
2021-03-18,City_1,80.6,Clear,0.0
2021-03-19,City_1,83.9,Clear,0.0
2021-03-20,City_1,73.6,Cloudy,0.0
2021-03-21,City_1,75.2,Clear,0.0
2021-03-22,City_1,81.4,Rain,1.36
2021-03-23,City_1,79.4,Rain,0.61
2021-03-24,City_1,77.4,Clear,0.0
2021-03-25,City_1,78.4,Clear,0.0
2021-03-26,City_1,76.3,Clear,0.0
2021-03-27,City_1,71.3,Rain,1.19
2021-03-28,City_1,74.4,Clear,0.0
2021-03-29,City_1,71.4,Clear,0.0
2021-03-30,City_1,74.8,Clear,0.0
2021-03-31,City_1,78.3,Clear,0.0
2021-04-01,City_1,74.2,Rain,0.0
2021-04-02,City_1,73.1,Clear,0.0
2021-04-03,City_1,80.7,Clear,0.0
2021-04-04,City_1,75.2,Clear,0.0
2021-04-05,City_1,83.8,Clear,0.0
2021-04-06,City_1,67.8,Clear,0.0
2021-04-07,City_1,76.3,Clear,0.0
2021-04-08,City_1,74.7,Clear,0.0
2021-04-09,City_1,84.5,Rain,0.67
2021-04-10,City_1,75.4,Clear,0.0
2021-04-11,City_1,61.7,Clear,0.0
2021-04-12,City_1,73.1,Rain,1.09
2021-04-13,City_1,69.1,Clear,0.0
2021-04-14,City_1,70.4,Clear,0.0
2021-04-15,City_1,80.2,Windy,0.0
2021-04-16,City_1,77.2,Clear,0.0
2021-04-17,City_1,73.9,Clear,0.0
2021-04-18,City_1,73.1,Clear,0.0
2021-04-19,City_1,77.8,Clear,0.0
2021-04-20,City_1,69.5,Clear,0.0
2021-04-21,City_1,73.1,Clear,0.0
2021-04-22,City_1,74.5,Rain,0.12
2021-04-23,City_1,78.9,Clear,0.0
2021-04-24,City_1,81.9,Thunderstorm,1.28
2021-04-25,City_1,76.9,Clear,0.0
2021-04-26,City_1,79.9,Clear,0.0
2021-04-27,City_1,69.5,Rain,1.12
2021-04-28,City_1,66.7,Rain,0.0
2021-04-29,City_1,77.0,Cloudy,0.0
2021-04-30,City_1,78.3,Clear,0.0
2021-05-01,City_1,67.2,Clear,0.0
2021-05-02,City_1,66.6,Clear,0.0
2021-05-03,City_1,63.9,Clear,0.0
2021-05-04,City_1,77.3,Clear,0.0
2021-05-05,City_1,71.3,Rain,0.0
2021-05-06,City_1,61.4,Clear,0.0
2021-05-07,City_1,68.5,Clear,0.0
2021-05-08,City_1,74.6,Clear,0.0
2021-05-09,City_1,67.0,Clear,0.0
2021-05-10,City_1,64.4,Clear,0.0
2021-05-11,City_1,71.6,Clear,0.0
2021-05-12,City_1,68.1,Clear,0.0
2021-05-13,City_1,58.2,Rain,0.0
2021-05-14,City_1,71.5,Clear,0.0
2021-05-15,City_1,63.9,Rain,0.0
2021-05-16,City_1,66.6,Clear,0.0
2021-05-17,City_1,60.7,Clear,0.0
2021-05-18,City_1,67.0,Rain,1.09
2021-05-19,City_1,63.3,Clear,0.0
2021-05-20,City_1,60.8,Rain,0.62
2021-05-21,City_1,65.9,Rain,0.0
2021-05-22,City_1,61.6,Clear,0.0
2021-05-23,City_1,69.6,Rain,1.17
2021-05-24,City_1,60.1,Rain,1.4
2021-05-25,City_1,55.3,Rain,1.23
2021-05-26,City_1,66.5,Clear,0.0
2021-05-27,City_1,59.2,Clear,0.0
2021-05-28,City_1,58.2,Rain,0.44
2021-05-29,City_1,54.1,Rain,0.0
2021-05-30,City_1,52.6,Clear,0.0
2021-05-31,City_1,57.1,Clear,0.0
2021-06-01,City_1,59.5,Fog,0.0
2021-06-02,City_1,53.4,Clear,0.0
2021-06-03,City_1,52.8,Clear,0.0
2021-06-04,City_1,56.2,Clear,0.0
2021-06-05,City_1,52.8,Clear,0.0
2021-06-06,City_1,58.0,Rain,0.82
2021-06-07,City_1,45.7,Clear,0.0
2021-06-08,City_1,54.4,Rain,1.32
2021-06-09,City_1,60.6,Windy,0.0
2021-06-10,City_1,53.9,Cloudy,0.0
2021-06-11,City_1,54.2,Clear,0.0
2021-06-12,City_1,52.9,Clear,0.0
2021-06-13,City_1,50.4,Clear,0.0
2021-06-14,City_1,59.1,Clear,0.0
2021-06-15,City_1,43.7,Cloudy,0.0
2021-06-16,City_1,50.0,Clear,0.0
2021-06-17,City_1,51.6,Clear,0.0
2021-06-18,City_1,53.2,Clear,0.0
2021-06-19,City_1,52.7,Cloudy,0.0
2021-06-20,City_1,46.2,Rain,0.0
2021-06-21,City_1,49.0,Clear,0.0
2021-06-22,City_1,55.6,Rain,0.0
2021-06-23,City_1,50.2,Rain,0.03
2021-06-24,City_1,45.0,Clear,0.0
2021-06-25,City_1,45.1,Clear,0.0
2021-06-26,City_1,44.3,Clear,0.0
2021-06-27,City_1,51.0,Rain,0.86
2021-06-28,City_1,52.1,Clear,0.0
2021-06-29,City_1,40.0,Clear,0.0
2021-06-30,City_1,54.4,Clear,0.0
2021-07-01,City_1,48.7,Rain,0.95
2021-07-02,City_1,48.3,Fog,0.0
2021-07-03,City_1,44.2,Clear,0.0
2021-07-04,City_1,37.8,Clear,0.0
2021-07-05,City_1,43.5,Clear,0.0
2021-07-06,City_1,47.4,Clear,0.0
2021-07-07,City_1,48.3,Rain,0.0
2021-07-08,City_1,37.9,Clear,0.0
2021-07-09,City_1,48.0,Clear,0.0
2021-07-10,City_1,45.4,Rain,0.26
2021-07-11,City_1,50.7,Clear,0.0
2021-07-12,City_1,33.6,Rain,0.91
2021-07-13,City_1,45.6,Clear,0.0
2021-07-14,City_1,35.4,Clear,0.0
2021-07-15,City_1,42.5,Rain,0.85
2021-07-16,City_1,44.1,Clear,0.0
2021-07-17,City_1,38.7,Clear,0.0
2021-07-18,City_1,36.2,Clear,0.0
2021-07-19,City_1,45.7,Rain,1.41
2021-07-20,City_1,42.4,Clear,0.0
2021-07-21,City_1,26.3,Snow,1.42
2021-07-22,City_1,40.6,Fog,0.0
2021-07-23,City_1,41.2,Rain,0.73
2021-07-24,City_1,39.4,Rain,0.19
2021-07-25,City_1,40.1,Clear,0.0
2021-07-26,City_1,50.9,Clear,0.0
2021-07-27,City_1,37.9,Rain,0.27
2021-07-28,City_1,24.0,Snow,1.86
2021-07-29,City_1,37.8,Clear,0.0
2021-07-30,City_1,30.5,Snow,1.17
2021-07-31,City_1,39.6,Rain,0.77
2021-08-01,City_1,31.9,Snow,0.19
2021-08-02,City_1,29.9,Snow,1.07
2021-08-03,City_1,38.8,Rain,0.04
2021-08-04,City_1,33.9,Rain,0.0
2021-08-05,City_1,33.1,Clear,0.0
2021-08-06,City_1,29.5,Snow,0.2
2021-08-07,City_1,41.2,Clear,0.0
2021-08-08,City_1,38.2,Fog,0.0
2021-08-09,City_1,40.6,Rain,0.54
2021-08-10,City_1,35.7,Clear,0.0
2021-08-11,City_1,36.4,Clear,0.0
2021-08-12,City_1,27.8,Snow,1.78
2021-08-13,City_1,27.9,Snow,1.96
2021-08-14,City_1,31.9,Snow,1.83
2021-08-15,City_1,28.9,Snow,0.0
2021-08-16,City_1,37.7,Clear,0.0
2021-08-17,City_1,28.3,Snow,0.31
2021-08-18,City_1,37.5,Rain,0.49
2021-08-19,City_1,36.7,Clear,0.0
2021-08-20,City_1,36.1,Clear,0.0
2021-08-21,City_1,22.8,Rain,0.06
2021-08-22,City_1,27.1,Snow,1.48
2021-08-23,City_1,28.9,Snow,1.13
2021-08-24,City_1,21.3,Snow,1.2
2021-08-25,City_1,23.2,Snow,0.0
2021-08-26,City_1,27.6,Snow,0.99
