Main Category,Sub-Category,Most_Efficient,#,Product URL,Product Name,Model,Description,Efficiency,Features,Size,Lighting,Market,Additional Model Identification,ENERGY STAR Unique ID,UPC Codes,Additional Model Names and/or Numbers,PDF File URL
Appliances,Residential Refrigerators,Yes,892,https://www.energystar.gov/productfinder/product/certified-residential-refrigerators/details-plus/3531032,Avanti - AVRPD75****,,"Type: Compact Refrigerator
Defrost Type: Automatic Built-in: No
Thru the Door Dispenser: No
Ice Maker: No
Refrigerant Type: Not Available","Annual Energy Use (kWh/yr): 250
US Federal Standard (kWh/yr): 380","Connected Functionality: Yes
ENERGY STAR Certified: Yes
Most Efficient  
:","Compact: Yes
Counter Depth: Yes
Height (in): 56.3
Width (in): 21.9
Capacity (Total Volume) (ft3): 7.5",,"Date Available On Market: 05/14/2024
Date Certified: 05/22/2024 Markets: United States, Canada",ENERGY STAR Unique ID: 3531032,3531032,,,https://www.energystar.gov/productfinder/product/certified-residential-refrigerators/details/3531032/export/pdf/download
Appliances,Room Air Cleaners,No,948,https://www.energystar.gov/productfinder/product/certified-room-air-cleaners/details/2367280,Blueair - 3231101000,,"Room Size (sq.ft.): 191
Smoke-Free Clean Air Delivery Rate (cfm): 123.0
Dust-Free Clean Air Delivery Rate (cfm): 107.0
Pollen-Free Clean Air Delivery Rate (cfm): 96.0
Technology Types: Fan and Filter
Ozone Emissions (ppb): 1.0
Filter #1 Type: HEPA-Type","Annual Energy Use (kWh/year): 52.69457391
Partial On Mode Power (Watts): 0.22
Smoke-Free Clean Air Delivery Rate per Watt: 13.8
Dust-Free Clean Air Delivery Rate per Watt: 12.02
Pollen-Free Clean Air Delivery Rate per Watt: 10.66666667","Network Capability: No
Connected Functions: No
ENERGY STAR Certified: Yes
Most Efficient  
:",,,"Date Certified: 09/17/2020 Markets: United States, Canada","ENERGY STAR Unique ID: 2367280
UPC Codes: 689122018928",2367280,689122018928,",RMAP-STC,",https://www.energystar.gov/productfinder/product/certified-room-air-cleaners/details/2367280/export/pdf/download
Appliances,Room Air Cleaners,Yes,950,https://www.energystar.gov/productfinder/product/certified-room-air-cleaners/details/2376333,Carrier - RMAP-SST,,"Room Size (sq.ft.): 437
Smoke-Free Clean Air Delivery Rate (cfm): 282.0
Dust-Free Clean Air Delivery Rate (cfm): 281.0
Pollen-Free Clean Air Delivery Rate (cfm): 315.0
Technology Types: Fan and Filter
Ozone Emissions (ppb): 0.0
Filter #1 Type: HEPA-Type","Annual Energy Use (kWh/year): 154.5912889
Partial On Mode Power (Watts): 0.72
Smoke-Free Clean Air Delivery Rate per Watt: 10.8
Dust-Free Clean Air Delivery Rate per Watt: 10.68
Pollen-Free Clean Air Delivery Rate per Watt: 11.97718631","Network Capability: Yes
Connected Functions: Yes
ENERGY STAR Certified: Yes
Most Efficient  
:",,,"Date Certified: 04/30/2021 Markets: United States, Canada","ENERGY STAR Unique ID: 2376333
UPC Codes: 860006452742, 860006679323
Additional Model Names and/or Numbers: ,RMAP-SSTC,",2376333,"860006452742, 860006679323",",RMAP-SSTC,",https://www.energystar.gov/productfinder/product/certified-room-air-cleaners/details/2376333/export/pdf/download
Building Products,Storm Windows,N/A,1072,https://www.energystar.gov/productfinder/product/certified-storm-windows/details/2344316,QUANTAPANEL - 606-SL Architectural Low-e Storm Window,,"ENERGY STAR Partner: QUANTA Technologies, Inc.
Product Type: Interior Storm Window
ENERGY STAR Storm Window Zone: Northern
Operator type: Vertical Slider/Single-Double Hung
Number of tracks: Two-Track
Frame Material: Aluminum
Frame Finished (painted or coated): Yes
Glazing Material: Glass with a coating
Number of glazing layers: 1
Screen Size: Partial","Emissivity: 0.16
Solar Transmittance: 0.74
AERC 1.2 Air Leakage Rating: 0.4","Screen included: Yes
Weep Holes: No
Manufacturer Warranty: Yes
Manufacturer Warranty Period: 20 years
ENERGY STAR Certified: Yes",,,"Date Available on the market: 8/1/2011
Date Certified: 8/21/2019 Markets: United States, Canada",ENERGY STAR Unique ID: 2344316,2344316,,",QUANTAPANEL*502-PW N IGS,Exterior, fixed window system with sash held in place by retaining bars that are removable to the exterior.  Low-e-glass",https://www.energystar.gov/productfinder/product/certified-storm-windows/details/2344316/export/pdf/download
Commercial Appliances,Commercial Clothes Washers,N/A,1095,https://www.energystar.gov/productfinder/product/certified-commercial-clothes-washers/details/2354726,LG - GCWM1069**#,,"Load Configuration: Front Load
Volume (cu. ft.): 3.7","Modified Energy Factor (MEF): 2.5
US Federal Standard (MEF): 2.0
US Federal Standard (WF): 5.5
Integrated Water Factor (IWF): 3.7
US Federal Standard (IWF): 4.1",ENERGY STAR Certified: Yes,,,"Intended Market: Commercial
Date Available On Market: 02/11/2020 Markets: United States, Canada","ENERGY STAR Unique ID: 2354726
UPC Codes: 048231028196, 195174000618, 195174000625, 195174000670, 195174024690, 8806091538437, 8806091538451",2354726,"048231028196, 195174000618, 195174000625, 195174000670, 195174024690, 8806091538437, 8806091538451",",,C33",https://www.energystar.gov/productfinder/product/certified-commercial-clothes-washers/details/2354726/export/pdf/download
Commercial Food Service Equipment,Commercial Coffee Brewers,N/A,1180,https://www.energystar.gov/productfinder/product/certified-commercial-coffee-brewers/details/2383799,BUNN - ITCB TWIN HV,,"ENERGY STAR Partner: Bunn-o-Matic Corporation
Product Type: Medium Batch Type II
Tank Capacity (gal): 5.768
Tank Capacity (ounces): 738.304
Measured Average Tank Temperature in Ready-to-Brew Idle (F?): 199
Maximum serving temperature during heavy-use brew test (°F): 191
Preheat Time (min): 21.13","Normalized Ready-to-Brew Idle Energy Rate (watts/gal): 20.8
Normalized Heavy-Use Brew Energy Rate (watts/gal): 306.51
Energy Save Mode Feature: Yes
Normalized Energy Save Mode Idle Energy Rate (watts/gal): 7.71
Preheat Energy (Wh): 1.86",ENERGY STAR Certified: Yes,,,"Date Available on Market: 09/12/2018 Markets: United States, Canada","ENERGY STAR Unique ID: 2383799
UPC Codes: 072504135892",2383799,072504135892,",ICB SH DV PE,; ,ICB-DV PE,; ,ICB-DV Tall PE,; ,ICB-DV Tall,; ,ICB-DV,",https://www.energystar.gov/productfinder/product/certified-commercial-coffee-brewers/details/2383799/export/pdf/download
Commercial Food Service Equipment,Commercial Dishwashers,N/A,1235,https://www.energystar.gov/productfinder/product/certified-commercial-dishwashers/details/2383572,ADS - AF-ES,,"ENERGY STAR Partner: American Dish Service Type: Stationary Single Tank Door - Dump and Fill
Sanitation Method: Chemical Sanitizing (Low Temp) Machine
Racks per Hour: 37.0","Water Consumption (gallons/rack): 0.95
Idle Energy Rate for Low Temp and Dual Sanitizing Machines (kW): 0.0
Washing Energy Consumption (kWh/rack) for Low Temp and Dual Sanitizing Machines: 0.02
Heat Recovery Machine: No
Hot Water Energy Offset Claimed: No
Energy Saver Mode: No",ENERGY STAR Certified: Yes,,,Markets: United States,ENERGY STAR Unique ID: 2383572,2383572,,",ELT HH,",https://www.energystar.gov/productfinder/product/certified-commercial-dishwashers/details/2383572/export/pdf/download
Commercial Food Service Equipment,Commercial Electric Cooktops,N/A,1369,https://www.energystar.gov/productfinder/product/certified-commercial-electric-cooktops/details/3543376,Spring USA - SM-351C,,"ENERGY STAR Partner: Spring USA
Product Type: Induction Cooktop
Induction Unit Position: Countertop Unit
Number of Hobs: 1
Voltage Configuration: Single voltage
Nameplate Input Rate (kW): 4","Cooking Energy Efficiency (%): 88
Cooking Energy Efficiency (%) of Hob 1: 88
Heat-Up Time (minutes) of Hob 1: 17.33
Production Capacity (lbs/hr) of Hob 1: 69",ENERGY STAR Certified: Yes,"Length (inches): 13
Width (inches): 13
Height (inches): 3",,"Date Available On Market: 05/01/2024
Date Certified: 05/31/2024 Markets: United States, Canada",ENERGY STAR Unique ID: 3543376,3543376,,,https://www.energystar.gov/productfinder/product/certified-commercial-electric-cooktops/details/3543376/export/pdf/download
Commercial Food Service Equipment,Commercial Fryers,N/A,1381,https://www.energystar.gov/productfinder/product/certified-commercial-fryers/details/2384327,ATOSA - ATFS-35ES,,"ENERGY STAR Partner: Yindu Kitchen Equipment Co., LTD Type: Standard Vat
Fuel Type: Gas","Cooking Energy Efficiency (%): 52
Energy Use (Idle Energy Rate) (Btu/hr): 8243",ENERGY STAR Certified: Yes,"Width (in.): 14
Depth (in.): 14
Shortening Capacity (lbs): 35",,"Markets: United States, Canada",ENERGY STAR Unique ID: 2384327,2384327,,",BDGF-ES35/LPG.,; ,BDGF-ES35/NG,; ,GF-ES35/LPG,; ,GF-ES35/NG,; ,HFRF-90-ES/LPG,",https://www.energystar.gov/productfinder/product/certified-commercial-fryers/details/2384327/export/pdf/download
Commercial Food Service Equipment,Commercial Griddles,N/A,1517,https://www.energystar.gov/productfinder/product/certified-commercial-griddles/details/3423391,AccuTemp - EGD*****48,,"ENERGY STAR Partner: Accutemp Products, Inc. Type: Single-Sided
Fuel Type: Electric
Tested Configuration: Single-Sided
Griddle Plate Type Description: Stainless Steel",Energy Use (Normalized Idle Energy) (Watts/sq. ft.): 271,ENERGY STAR Certified: Yes,"Width (ft.): 4.0
Depth (ft.): 2.0
Cooking Surface (sq. ft.): 7.6
Production Capacity (lbs/hr): 74",,"Markets: United States, Canada",ENERGY STAR Unique ID: 3423391,3423391,,"EGF*****48,EGF*****48,",https://www.energystar.gov/productfinder/product/certified-commercial-griddles/details/3423391/export/pdf/download
Commercial Food Service Equipment,Commercial Hot Food Holding Cabinets,N/A,1560,https://www.energystar.gov/productfinder/product/certified-commercial-hot-food-holding-cabinets/details/2184503,"Metro - Metro C5 6,8,9 Series : C569-SFS-U",,"ENERGY STAR Partner: InterMetro Industries
Door Type: Solid
Number of Doors: 2
Internal Volume (cu. ft.): 24.0","Energy Usage (Watts): 285.3
Energy Use (Max Idle Energy Rate) (Watts): 11.0",ENERGY STAR Certified: Yes,,,"Markets: United States, Canada",ENERGY STAR Unique ID: 2184503,2184503,9951123361,",UPCHD400,; ,UPCHW400,",https://www.energystar.gov/productfinder/product/certified-commercial-hot-food-holding-cabinets/details/2184503/export/pdf/download
Commercial Food Service Equipment,Commercial Ice Machines,N/A,1684,https://www.energystar.gov/productfinder/product/certified-commercial-ice-machines/details/2316260,Howe - 1000-RLE,,"ENERGY STAR Partner: Howe Corporation
Condenser Unit Model Number (if applicable): KEZA015H8-HT3B-X2178
Equipment Type: Remote Condensing Unit
Refrigerant Type: R-404A (3920)
Ice Type: Continuous
Harvest Rate (lbs ice/day): 1014
Ice Hardness Factor: 93.3","Energy Use (kWh/100 lbs ice): 2.78
Potable Water Use (gal/100 lbs ice): 12.3","Connected Functionality: No
ENERGY STAR Certified: Yes",,,"Markets: United States, Canada",ENERGY STAR Unique ID: 2316260,2316260,,",4000-RL-404-230,; ,4000-RL-404-230-SW,",https://www.energystar.gov/productfinder/product/certified-commercial-ice-machines/details/2316260/export/pdf/download
Commercial Food Service Equipment,Commercial Ovens,N/A,1804,https://www.energystar.gov/productfinder/product/certified-commercial-ovens/details/3626799,Alto-Shaam - CTP6-10G,,"ENERGY STAR Partner: Alto-Shaam, Inc.
Oven Type: Combination
Fuel Type: Gas","Gas Oven Convection Mode Total Idle Energy Rate (Btu/hr): 5428
Convection Mode Cooking Energy Efficiency (%): 58
Convection Mode Cooking Period Water Consumption (gal/pan): 0.04
Gas Oven Steam Mode Total Idle Energy Rate (Btu/hr): 5901
Steam Mode Cooking Energy Efficiency (%): 41
Steam Mode Cooking Period Water Consumption (gal/pan): 0.29
Input Rate (Btu/hr): 49349",ENERGY STAR Certified: Yes,"Size: Full-size
Convection Mode Production Capacity (lbs/hr): 64.0
Steam Mode Production Capacity (lbs/hr): 113.0
Full-Size Sheet Pan Capacity: 7
Half-Size and Full-Size Steam Pan Capacity: 7",,"Date Available on Market: 09/01/2024
Date Certified: 08/28/2024 Markets: United States, Canada",ENERGY STAR Unique ID: 3626799,3626799,"663137350211, 663137371063, 663137580915, 663137582803",",M2-HE,",https://www.energystar.gov/productfinder/product/certified-commercial-ovens/details/3626799/export/pdf/download
Commercial Food Service Equipment,Commercial Refrigerators and Freezers,N/A,1927,https://www.energystar.gov/productfinder/product/certified-commercial-refrigerators-and-freezers/details/2406885,IDW - TEQ-77,,"ENERGY STAR Partner: Innovative DisplayWorks, Inc. Type: Horizontal Transparent Door Refrigerator
Configuration (Vertical/Chest): Chest
Product Description: Merchandiser
Door Opening Orientation (Hinged/Sliding): Hinged
Number of Doors: 1
Number of Transparent Doors: 1
Number of Solid Doors: 0
Number of Drawers: 0
Refrigerant Type: R-600a (3)",Reported Daily Energy Consumption (kWh/day): 0.26,ENERGY STAR Certified: Yes,"Total Volume (cu. ft.): 2.3
Mixed Door Cabinet: Transparent Door Volume (cu. ft.): 2.3
Mixed Door Cabinet: Solid Door Volume (cu. ft.): 0.0
Total Display Area (sq. ft.): 0
Depth (in.): 32.63
Height (in.): 23.38
Width (in.): 23.38",,Date Available On Market: 05/30/2017 Markets: United States,ENERGY STAR Unique ID: 2406885,2406885,665679020034,",RCM-VISID-NA34B,",https://www.energystar.gov/productfinder/product/certified-commercial-refrigerators-and-freezers/details/2406885/export/pdf/download
Commercial Food Service Equipment,Commercial Steam Cookers,N/A,2054,https://www.energystar.gov/productfinder/product/certified-commercial-steam-cookers/details/1907601,AccuTemp - Steam 'N' Hold : S62401D060,,"ENERGY STAR Partner: Accutemp Products, Inc.
Product Type: Pressureless
Method of Steam Generation: Boilerless
Pan Capacity: 6
Primary Fuel Source: Electric","Cooking Energy Efficiency (%): 69
Water Consumption (gallons/hr): 1.5
Idle Energy Rate Electric (Watts): 300.0",ENERGY STAR Certified: Yes,,,"Markets: United States, Canada",ENERGY STAR Unique ID: 1907601,1907601,,"Steam 'N' Hold,S32083D080,",https://www.energystar.gov/productfinder/product/certified-commercial-steam-cookers/details/1907601/export/pdf/download
Data Center Equipment,Data Center Storage,N/A,2180,https://www.energystar.gov/productfinder/product/certified-data-center-storage/details/2384462,DELL - Powerscale F600,,"ENERGY STAR Partner: Dell Inc.
Storage Model Connectivity: File I/O
Product Type: NVSS Disk Set Online 4
Storage Controller Configuration: Scale-Out Storage
Storage Controller Advanced Data Recovery Type: OneFS Data Protection
Capacity Optimized Method Available (COMs): Delta Snapshots,Thin Provisioning,Compression,Data Deduplication
Workload Optimization Type: Composite
Automated Storage Tiering Capable: Yes
Automated Storage Tiering Enabled in Hardware on Shipment: Yes",,ENERGY STAR Certified: Yes,,,"Markets: United States, Canada",ENERGY STAR Unique ID: 2384462,2384462,496131199422,"HPE MSA 2062 SFF Storage,HPE MSA 2062 SFF Storage,",https://www.energystar.gov/productfinder/product/certified-data-center-storage/details/2384462/export/pdf/download
Data Center Equipment,Enterprise Servers,N/A,2258,https://www.energystar.gov/productfinder/product/certified-enterprise-servers/details/3417799,KAYTUS - KR1180-E2-A0-R0-00,,"ENERGY STAR Partner: KAYTUS SYSTEMS PTE. LTD.
Form Factor: Rack-mount
Resilient System: No
Operating Systems Supported: Windows,Linux
Product Processor Socket Count: 1
Maximum Memory Capacity (GB): 3072.0
Installed Processors for Typical or Single Configuration: 1
Cores Per Processor Typical or Single Configuration: 96
Number of Threads for Typical or Single Configuration: 192
Processor Brand Typical or Single Configuration: AMD
Processor Model Name Typical or Single Configuration: EPYC 9654
Processor Speed for Typical or Single Configuration (GHz): 2.4
Num. of DDR Channels for Typical or Single Configuration: 12
Memory Speed Typical or Single Configuration (GHz): 4.8
Typical or Single Configuration Size Per DIMM (GB): 64
Installed Num. DIMMs for Typical or Single Configuration: 12
Installed Memory for Typical or Single Configuration (GB): 767.7
Typical or Single Configuration Redundant Power Supply: Yes
64-bit Architecture: 64-bit supported","SERT Active State Efficiency Score Typical or Single Configuration: 98.90
SERT Version: Other
SERT Version Other  : 2.0.7","Available Expansion Slots: 1
Power Saving Features Available: Variable speed fan control based on power or thermal readings,Processor or core reduced power states,Power capping,Dynamic voltage and frequency scaling of processor(s)
Available DIMM Slots: 24
ENERGY STAR Certified: Yes",,,"Date Available On Market: 03/05/2024
Date Certified: 03/08/2024 Markets: United States, Canada",ENERGY STAR Unique ID: 3417799,3417799,,",,TPS-W034, Regulatory Model Number",https://www.energystar.gov/productfinder/product/certified-enterprise-servers/details/3417799/export/pdf/download
Data Center Equipment,Large Network Equipment,N/A,2378,https://www.energystar.gov/productfinder/product/certified-large-network-equipment/details/3624367,"CISCO - C9500-48Y4C, C9500-48Y4C-A, C9500-48Y4C-E",,"Product Type: Switch
Product Classification: Fixed
Product Characteristics: Processor Managed",,ENERGY STAR Certified: Yes,,,"Markets: United States, Canada",ENERGY STAR Unique ID: 3624367,3624367,884116464679,",,Retail Numbers: N3224P-ON, N3224PX-ON, N3248P-ON",https://www.energystar.gov/productfinder/product/certified-large-network-equipment/details/3624367/export/pdf/download
